2018-12-06 00:03:22 [月爷]{忽悠,16}[骑士之心](UL 33)牛牛想戳忽悠宝贝酒窝[16160745]:3
2018-12-06 11:08:38 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:上课加油鸭！๛ก(ｰ̀ωｰ́ก) 
2018-12-06 11:13:09 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:牧濑红莉栖 跟我说能不能帮她粉丝榜截个屏（电脑只能看前十）
2018-12-06 11:13:41 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:截完发我或者发她都行8（布星就算了）
2018-12-06 11:13:48 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:我就问一嘴23333
2018-12-06 11:25:36 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:是牧濑陪你鸭嘛
2018-12-06 11:25:42 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:第28
2018-12-06 11:26:39 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:就。截个图。。？_(:з」∠)_
2018-12-06 11:26:50 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:方便的话。（）
2018-12-06 11:28:58 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:发啦
2018-12-06 11:29:30 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:问问她有没有收到
2018-12-06 11:37:09 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:收到了！
2018-12-06 11:37:16 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:蟹蟹
2018-12-06 11:37:27 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:我溜了去上课
2018-12-06 11:39:37 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:去吧去吧，灰灰~
2018-12-06 11:48:37 {忽悠,14}[一见倾心](UL 23)秋夜Vivi[3789354]:我们是门里的幸运儿吗哈哈哈哈哈
2018-12-06 11:51:44 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:是的呢嘿嘿嘿✧(≖ ◡ ≖✿)
2018-12-06 13:59:35 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:是的呀
2018-12-06 15:10:50 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:差点一个手滑把窗口关了OTZ
2018-12-06 15:11:03 [年爷]{夜宵,19}[永恒誓约](UL 49)NShy小哆[3113384]:_(:з」∠)_
2018-12-06 15:11:47 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:（｡ò ∀ ó｡）
2018-12-06 15:50:44 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:可千万别手滑
2018-12-06 15:52:08 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:在这白住不用交房租爽！
2018-12-06 16:04:13 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:这么一说确实很爽！！
2018-12-06 16:11:42 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:你们这个UL怎么升上去的啊？为什么0啊
2018-12-06 16:11:55 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:为什么我永远都是0啊
2018-12-06 16:17:34 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:每天签到就能升级啊
2018-12-06 16:29:41 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:哦哦原来要签到啊
2018-12-06 16:33:49 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:啊。浏览器可以看见我们说啥哇0.0
2018-12-06 16:33:53 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:_(:з」∠)_
2018-12-06 16:33:56 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:有点厉害
2018-12-06 16:34:18 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:签到哇。。
2018-12-06 16:34:39 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:超话也是(￣▽￣")
2018-12-06 16:35:43 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:是不是觉得问题很蠢哈哈哈
2018-12-06 16:36:03 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:真的是为了狗贼才看b站的
2018-12-06 16:44:19 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:也没有，新人不知道很正常
2018-12-06 16:45:10 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:买个姥爷挂直播间ul涨的比较快
2018-12-06 16:45:30 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:这次是真•被围观惹_(:з」∠)_
2018-12-06 16:47:37 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:他们怎么看啊
2018-12-06 16:47:44 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:不是只有我们几个吗
2018-12-06 16:50:06 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:要真的被围观还真的挺搞笑的
2018-12-06 16:51:54 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:能用手机浏览器瞅直播间，但是发不了弹幕
2018-12-06 16:52:02 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:是挺搞笑的哈哈哈哈哈
2018-12-06 16:53:32 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:那进直播间的提示是因为他们用浏览器看吗
2018-12-06 16:57:02 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:没研究过！应该不是叭_(:з」∠)_
2018-12-06 16:58:20 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:我前天把脑门撞破了 结果就被🔐里面了
2018-12-06 16:58:26 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:哈哈哈运气守恒啊
2018-12-06 17:09:08 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:你们看好家啊！
2018-12-06 17:09:14 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:我先睡觉了
2018-12-06 17:09:33 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:晚安！
2018-12-06 17:10:05 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:WXHWZYQDHY
2018-12-06 17:20:48 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:好的！！晚安！！mua!
2018-12-06 19:06:15 [舰]悠梨一直在不会走的[10695010] 进入直播间
2018-12-06 19:35:03 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:同志们我去输液啦！灰灰!
2018-12-06 20:24:35 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:试试
2018-12-06 20:24:41 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:进门了没
2018-12-06 20:24:44 [年爷]{夜宵,19}[永恒誓约](UL 49)NShy小哆[3113384]:0.0
2018-12-06 20:25:52 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:嗨
2018-12-06 20:25:57 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:晚上好
2018-12-06 20:34:10 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:呜呜好冷清
2018-12-06 20:49:47 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:有~人~吗~
2018-12-06 20:53:06 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:晚~上~好~
2018-12-06 20:53:45 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:承包直播间
2018-12-06 20:54:18 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:竟然承包了647
2018-12-06 20:54:24 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:amazing
2018-12-06 21:31:04 深灰灰哼着嗝噜嗝噜[2651333] 进入直播间
2018-12-06 21:42:36 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:想大家~
2018-12-06 22:07:32 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:嘎
2018-12-06 22:17:15 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:有人有人有人！
2018-12-06 22:17:17 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:(￣▽￣")
2018-12-06 22:17:21 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:哇！
2018-12-06 22:17:23 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:终于！
2018-12-06 22:17:27 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:等了一晚上了
2018-12-06 22:17:33 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:噗
2018-12-06 22:17:36 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:怎么进来的！
2018-12-06 22:17:46 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:你怎么进来的哈哈哈哈
2018-12-06 22:18:04 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:我。。我没出去啊！
2018-12-06 22:18:08 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:我好激动呀
2018-12-06 22:18:17 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:我不是怎么进来的，我是从前天晚上就没出去（）
2018-12-06 22:18:17 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:你被关在这里这么多天吗哈哈哈哈
2018-12-06 22:18:27 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:一直开着电脑不敢关(￣▽￣")
2018-12-06 22:18:29 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:流批啊兄dei！！
2018-12-06 22:18:38 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:233333333
2018-12-06 22:18:50 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:别关了吧哈哈哈哈哈
2018-12-06 22:18:50 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:电脑在卡死的边缘（不）
2018-12-06 22:18:57 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:我也觉得（）
2018-12-06 22:19:00 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:除了你还有别人一直没出去吗
2018-12-06 22:19:06 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:有呀
2018-12-06 22:19:09 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:（但是我是进来的哈哈哈哈
2018-12-06 22:19:17 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:太秀了你们哈哈哈哈
2018-12-06 22:19:35 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:（你咋进来的）
2018-12-06 22:19:39 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:好难得家里冷冷清清
2018-12-06 22:19:39 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:算了不能说
2018-12-06 22:19:43 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:咱悄悄说（）
2018-12-06 22:19:47 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:对...我怕黑子也会在
2018-12-06 22:19:52 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:我私信你吧
2018-12-06 22:20:01 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:QQ
2018-12-06 22:20:21 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:御膳房搜我（）
2018-12-06 22:20:32 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:我b站私信你~
2018-12-06 22:20:37 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:我退御膳房了哈哈哈
2018-12-06 22:20:58 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:啊？ 哦哦
2018-12-06 22:21:17 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:你去看b站私信就好嘿嘿
2018-12-06 22:21:35 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:嗯嗯
2018-12-06 22:22:59 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:太开心了 等了一晚上有人
2018-12-06 22:54:48 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:！！！怎么进来的！！
2018-12-06 22:54:56 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:欢迎！！
2018-12-06 22:55:01 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:因为我是重重呀
2018-12-06 22:55:06 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:无所不能
2018-12-06 22:55:14 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:好敷衍的答案！！
2018-12-06 22:55:30 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:好叭，重重流批！！（｡ò ∀ ó｡）
2018-12-06 22:55:34 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:嘿嘿嘿
2018-12-06 22:55:38 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:但就是答案
2018-12-06 22:55:48 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:夸我就完事儿了
2018-12-06 22:55:53 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:实在太想家了 回来看看
2018-12-06 22:55:55 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:6666666
2018-12-06 22:56:15 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:报数了报数了！
2018-12-06 22:56:19 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:3
2018-12-06 22:56:29 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:现在家里还有多少人啊
2018-12-06 22:56:32 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:就是没出去的
2018-12-06 22:56:45 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:_(:з」∠)_乐观估计十来个叭
2018-12-06 22:57:01 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:估计有些宝贝儿电脑扛不住了吧哈哈哈
2018-12-06 22:58:13 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:哈哈哈哈哈可能
2018-12-06 22:58:14 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:你们现在是不是都不敢刷新页面啊
2018-12-06 22:58:27 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:希望我手机能扛的久一点_(:з」∠)_
2018-12-06 22:58:50 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:哈哈
2018-12-06 22:58:51 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:我，动都不敢动_(:з」∠)_
2018-12-06 22:59:07 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:铅笔~
2018-12-06 22:59:13 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:私我
2018-12-06 22:59:13 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:嗯~
2018-12-06 22:59:25 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:！！
2018-12-06 22:59:25 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:微薄
2018-12-06 22:59:35 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:id和b站一样
2018-12-06 22:59:41 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:教你哈哈哈哈
2018-12-06 22:59:56 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:b站也行
2018-12-06 23:00:11 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:b站我的私信变得很奇怪
2018-12-06 23:00:14 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:两个手机不虚的
2018-12-06 23:00:21 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:？？奇怪？
2018-12-06 23:00:44 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:你有空微薄找我好了哈哈哈哈神奇小技巧
2018-12-06 23:00:58 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:不敢公开说
2018-12-06 23:02:25 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:这么神秘鸭
2018-12-06 23:02:38 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:因为怕黑子会看到啊
2018-12-06 23:02:44 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:家里难得清净一下
2018-12-06 23:03:13 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:现在还坚守的黑子那可真的是真爱了_(:з」∠)_
2018-12-06 23:04:28 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:还是会怕有~
2018-12-06 23:04:32 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:所以超话我也不敢发
2018-12-06 23:05:55 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:嗯嗯还是慎重点好
2018-12-06 23:06:24 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:睡了睡了！大家晚安安！呲溜呲溜mua(๑•̀ㅂ•́)و✧
2018-12-06 23:06:37 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:嗯嗯嗯嗯晚安安！
2018-12-06 23:06:47 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:小技巧也记得不要多说啊哈哈哈
2018-12-06 23:06:57 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:现在还在家里的 和我确定比较熟的我有说
2018-12-06 23:07:25 [月爷]{允星河,2}[骑士之心](UL 37)忽悠牌绘画铅笔[9365665]:好的！
2018-12-06 23:08:20 [年爷]{又见,5}[永恒誓约](UL 23)葉重_hiero[4973971]:mua
2018-12-06 23:08:24 [年爷]{又见,5}[永恒誓约](UL 23)葉重_hiero[4973971]:晚安安
2018-12-06 23:23:17 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:宝贝儿们晚安！重重也睡啦
2018-12-06 23:53:25 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:我来报数啊 4
2018-12-06 23:53:30 [管][年爷]{忽悠,19}[骑士之心](UL 51)唐康之东赖在647不走辽[10894061]:5
2018-12-06 23:53:40 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:666666
2018-12-06 23:54:20 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:你是没出去还是和重重一样走的窗虎啊
2018-12-06 23:54:27 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:窗户*
2018-12-06 23:59:07 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:还有两分钟我生日喽
2018-12-06 23:59:30 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:既然是小黑屋我许愿咯
2018-12-06 23:59:54 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:祝狗贼早点回来！
